track,load,goodput_local,delay_p50_ms_local,delay_p95_ms_local,delay_p99_ms_local,retry_rate_pct_local,backoff_rate_pct_local,tail_amp_p99_p50_local,avg_cwnd_local,avg_inflight_local,max_inflight_local,goodput_remote,delay_p50_ms_remote,delay_p95_ms_remote,delay_p99_ms_remote,retry_rate_pct_remote,backoff_rate_pct_remote,tail_amp_p99_p50_remote,avg_cwnd_remote,avg_inflight_remote,max_inflight_remote,goodput_remote_over_local,delay_p50_ms_remote_over_local,delay_p95_ms_remote_over_local,delay_p99_ms_remote_over_local,retry_rate_pct_remote_over_local,backoff_rate_pct_remote_over_local,tail_amp_p99_p50_remote_over_local,avg_cwnd_remote_over_local,avg_inflight_remote_over_local,max_inflight_remote_over_local
aimd,10,742.07,5.261816,6.346666,9.443597,75.12851325188598,75.12851325188598,1.7947410171697376,1.16,0.16,3.0,946.63,3.118968,6.86681,9.680251,69.99146407005784,69.99146407005784,3.103671150200964,1.21,0.21,2.0,1.27566132575094,0.592755048827249,1.0819554707936418,1.0250597309478582,0.9316231752835975,0.9316231752835975,1.7293142133093815,1.043103448275862,1.3125,0.6666666666666666
aimd,30,624.25,5.852473,8.01546,14.060864,78.96750805585391,78.96750805585391,2.4025508532888575,1.13,0.13,2.0,681.34,5.700612,6.715902,9.036639,78.61389236545682,78.61389236545682,1.5852050621933225,1.13,0.13,2.0,1.091453744493392,0.9740518239041854,0.837868568990426,0.6426802079872189,0.9955220102659568,0.9955220102659568,0.6598008362750497,1.0,1.0,1.0
aimd,50,746.52,5.407347,6.567835,9.821297,78.34538617298236,78.34538617298236,1.8162875435957782,1.13,0.13,2.0,898.52,3.382215,7.0148,10.011759,74.98751872191713,74.98751872191713,2.9601190344197517,1.16,0.16,2.0,1.203611423672507,0.6254851038781125,1.0680536280220194,1.0193927543378436,0.9571402016750388,0.9571402016750388,1.6297634396365919,1.0265486725663717,1.2307692307692308,1.0
aimd,70,639.55,5.907325,8.658625,10.777861,82.61541380899456,82.61541380899456,1.8244909497953812,1.09,0.09,2.0,634.5,6.085649,8.643723,12.125428,82.765905582189,82.765905582189,1.992462595197324,1.09,0.09,2.0,0.9921038230005473,1.0301869289399177,0.9982789415178506,1.1250310242449777,1.0018215943763518,1.0018215943763518,1.0920649375765779,1.0,1.0,1.0
aimd,90,559.08,6.463604,10.423233,13.293652,85.7215589440725,85.7215589440725,2.0566934484228923,1.08,0.08,2.0,546.39,6.48763,10.611988,15.894979,85.9090558964747,85.9090558964747,2.450044006825297,1.08,0.08,2.0,0.9773019961365099,1.003717121284039,1.0181090646251505,1.1956818938843894,1.0021872788445731,1.0021872788445731,1.191253858811109,1.0,1.0,1.0
csma,10,966.54,2.952798,6.886391,10.211946,67.08430953108552,67.08430953108552,3.458396409100792,1.0,0.33,1.0,600.98,5.93453,7.569773,9.88743,76.90716119391547,76.90716119391547,1.6660847615565175,1.0,0.23,1.0,0.6217849235417056,2.0097988416410466,1.099236595772735,0.9682219236176925,1.146425471641446,1.146425471641446,0.4817506625822896,1.0,0.696969696969697,1.0
csma,30,678.1,5.608164,6.948243,8.318249,77.29152768512341,77.29152768512341,1.4832392561986418,1.0,0.23,1.0,1231.64,2.763412,3.671833,6.601544,62.91794225343658,62.91794225343658,2.3889105207620145,1.0,0.37,1.0,1.816310278719953,0.4927480722746339,0.5284548914020423,0.7936218307482741,0.8140341398058125,0.8140341398058125,1.6106036236422812,1.0,1.6086956521739129,1.0
csma,50,781.38,4.893101,6.92415,11.627189,76.35365449006063,76.35365449006063,2.3762413651383856,1.0,0.24,1.0,660.58,5.789432,7.032579,9.104439,80.44639957485755,80.44639957485755,1.5725962408747525,1.0,0.2,1.0,0.8454017251529347,1.1831826075120868,1.0156595394380539,0.7830301029767384,1.053602477997038,1.053602477997038,0.6617998760337079,1.0,0.8333333333333334,1.0
csma,70,638.22,5.745774,6.92662,12.958736,83.63585233663974,83.63585233663974,2.2553508021721704,1.0,0.16,1.0,532.56,6.736492,9.97543,15.786931,84.43591086286146,84.43591086286146,2.343494358784958,1.0,0.16,1.0,0.8344458023878912,1.1724255078602117,1.440158403377116,1.2182462085808368,1.0095659756416595,1.0095659756416595,1.0390819718723556,1.0,1.0,1.0
csma,90,538.95,6.504992,10.136164,13.089892,86.46586445850949,86.46586445850949,2.0122841042694595,1.0,0.14,1.0,529.7,6.718482,11.450769,15.495397,86.12408968703505,86.12408968703505,2.306383644400625,1.0,0.14,1.0,0.9828369978662214,1.0328194100776757,1.129694527436612,1.1837681319295834,0.9960472867111803,0.9960472867111803,1.1461520962706881,1.0,1.0,1.0
random,10,752.26,9.218059,12.529213,17.733856,0.0,0.0,1.9238167167296283,1.0,1.0,1.0,829.29,8.430023,11.266404,13.816299,0.0,0.0,1.6389396565110201,1.0,1.0,1.0,1.1023981070374604,0.9145117209599114,0.8992108283257695,0.779091642562114,,,0.8519208936374761,1.0,1.0,1.0
random,30,790.72,8.3655,12.091198,15.696081,0.0,0.0,1.8762872512103281,1.0,1.0,1.0,779.86,9.722321,12.196757,15.83664,0.0,0.0,1.628894993284011,1.0,1.0,1.0,0.9862656819101578,1.162192457115534,1.0087302350023546,1.0089550378849343,,,0.8681479833289211,1.0,1.0,1.0
random,50,663.45,11.144251,12.700629,17.147087,0.0,0.0,1.5386486718578036,1.0,1.0,1.0,671.28,10.95522,13.329466,17.767961,0.0,0.0,1.6218716739599934,1.0,1.0,1.0,1.0118019443816413,0.9830378012842675,1.0495122721874641,1.0362087158011155,,,1.0540883722349068,1.0,1.0,1.0
random,70,660.15,11.076223,12.726948,16.550267,0.0,0.0,1.4942157629004038,1.0,1.0,1.0,764.38,9.064138,12.493954,20.77208,0.0,0.0,2.2916773773744397,1.0,1.0,1.0,1.1578883587063546,0.8183419564593454,0.9816928614778657,1.2550903257331134,,,1.533699104422572,1.0,1.0,1.0
random,90,652.54,11.299709,13.101501,23.328279,0.0,0.0,2.0645026345368716,1.0,1.0,1.0,680.9,11.175628,12.662673,18.430514,0.0,0.0,1.6491703195560912,1.0,1.0,1.0,1.043460937260551,0.9890190977484464,0.9665055171922666,0.7900503076116331,,,0.7988220949526899,1.0,1.0,1.0
