track,load,seed,attempts,success,retry,backoff,delay_p50,delay_p95,delay_p99,goodput,threads,seconds,mem_node,cpu_node,mem_mb,touches_per_req,latency_samples,backend,queue_depth,device_workers,avg_cwnd,avg_inflight,max_inflight
random,10,1,7549,7549,0,0,9218059,12529213,17733856,752.26,8,10,0,0,512,4096,7549,type3_numa_node0,4,1,1.00,1.00,1
csma,10,1,29451,9694,19757,19757,2952798,6886391,10211946,966.54,8,10,0,0,512,4096,9694,type3_numa_node0,4,1,1.00,0.33,1
aimd,10,1,29958,7451,22507,22507,5261816,6346666,9443597,742.07,8,10,0,0,512,4096,7451,type3_numa_node0,4,1,1.16,0.16,3
random,30,1,7931,7931,0,0,8365500,12091198,15696081,790.72,8,10,0,0,512,4096,7931,type3_numa_node0,4,1,1.00,1.00,1
csma,30,1,29980,6808,23172,23172,5608164,6948243,8318249,678.10,8,10,0,0,512,4096,6808,type3_numa_node0,4,1,1.00,0.23,1
aimd,30,1,29792,6266,23526,23526,5852473,8015460,14060864,624.25,8,10,0,0,512,4096,6266,type3_numa_node0,4,1,1.13,0.13,2
random,50,1,6655,6655,0,0,11144251,12700629,17147087,663.45,8,10,0,0,512,4096,6655,type3_numa_node0,4,1,1.00,1.00,1
csma,50,1,33151,7839,25312,25312,4893101,6924150,11627189,781.38,8,10,0,0,512,4096,7839,type3_numa_node0,4,1,1.00,0.24,1
aimd,50,1,34570,7486,27084,27084,5407347,6567835,9821297,746.52,8,10,0,0,512,4096,7486,type3_numa_node0,4,1,1.13,0.13,2
random,70,1,6621,6621,0,0,11076223,12726948,16550267,660.15,8,10,0,0,512,4096,6621,type3_numa_node0,4,1,1.00,1.00,1
csma,70,1,39116,6401,32715,32715,5745774,6926620,12958736,638.22,8,10,0,0,512,4096,6401,type3_numa_node0,4,1,1.00,0.16,1
aimd,70,1,36889,6413,30476,30476,5907325,8658625,10777861,639.55,8,10,0,0,512,4096,6413,type3_numa_node0,4,1,1.09,0.09,2
random,90,1,6556,6556,0,0,11299709,13101501,23328279,652.54,8,10,0,0,512,4096,6556,type3_numa_node0,4,1,1.00,1.00,1
csma,90,1,39973,5410,34563,34563,6504992,10136164,13089892,538.95,8,10,0,0,512,4096,5410,type3_numa_node0,4,1,1.00,0.14,1
aimd,90,1,39283,5609,33674,33674,6463604,10423233,13293652,559.08,8,10,0,0,512,4096,5609,type3_numa_node0,4,1,1.08,0.08,2
random,10,1,8320,8320,0,0,8430023,11266404,13816299,829.29,8,10,1,0,512,4096,8320,type3_numa_node1,4,1,1.00,1.00,1
csma,10,1,26099,6027,20072,20072,5934530,7569773,9887430,600.98,8,10,1,0,512,4096,6027,type3_numa_node1,4,1,1.00,0.23,1
aimd,10,1,31631,9492,22139,22139,3118968,6866810,9680251,946.63,8,10,1,0,512,4096,9492,type3_numa_node1,4,1,1.21,0.21,2
random,30,1,7823,7823,0,0,9722321,12196757,15836640,779.86,8,10,1,0,512,4096,7823,type3_numa_node1,4,1,1.00,1.00,1
csma,30,1,33318,12355,20963,20963,2763412,3671833,6601544,1231.64,8,10,1,0,512,4096,12355,type3_numa_node1,4,1,1.00,0.37,1
aimd,30,1,31960,6835,25125,25125,5700612,6715902,9036639,681.34,8,10,1,0,512,4096,6835,type3_numa_node1,4,1,1.13,0.13,2
random,50,1,6734,6734,0,0,10955220,13329466,17767961,671.28,8,10,1,0,512,4096,6734,type3_numa_node1,4,1,1.00,1.00,1
csma,50,1,33871,6623,27248,27248,5789432,7032579,9104439,660.58,8,10,1,0,512,4096,6623,type3_numa_node1,4,1,1.00,0.20,1
aimd,50,1,36054,9018,27036,27036,3382215,7014800,10011759,898.52,8,10,1,0,512,4096,9018,type3_numa_node1,4,1,1.16,0.16,2
random,70,1,7667,7667,0,0,9064138,12493954,20772080,764.38,8,10,1,0,512,4096,7667,type3_numa_node1,4,1,1.00,1.00,1
csma,70,1,34374,5350,29024,29024,6736492,9975430,15786931,532.56,8,10,1,0,512,4096,5350,type3_numa_node1,4,1,1.00,0.16,1
aimd,70,1,36921,6363,30558,30558,6085649,8643723,12125428,634.50,8,10,1,0,512,4096,6363,type3_numa_node1,4,1,1.09,0.09,2
random,90,1,6830,6830,0,0,11175628,12662673,18430514,680.90,8,10,1,0,512,4096,6830,type3_numa_node1,4,1,1.00,1.00,1
csma,90,1,38311,5316,32995,32995,6718482,11450769,15495397,529.70,8,10,1,0,512,4096,5316,type3_numa_node1,4,1,1.00,0.14,1
aimd,90,1,38947,5488,33459,33459,6487630,10611988,15894979,546.39,8,10,1,0,512,4096,5488,type3_numa_node1,4,1,1.08,0.08,2
