track,load,seed,attempts,success,retry,backoff,delay_p50,delay_p95,delay_p99,goodput,threads,seconds,mem_node,cpu_node,mem_mb,touches_per_req,latency_samples,backend,queue_depth
random,10,1,1802,1802,0,0,19069004,31344971,36980456,356.68,8,5,1,0,512,4096,1802,type3_numa_node1,4
csma,10,1,8568,1681,6887,6887,10767771,19528353,24140008,331.80,8,5,1,0,512,4096,1681,type3_numa_node1,4
aimd,10,1,8985,2721,6264,6264,6636232,13821956,18626665,539.13,8,5,1,0,512,4096,2721,type3_numa_node1,4
random,30,1,2653,2653,0,0,12164013,20985165,25842702,526.82,8,5,1,0,512,4096,2653,type3_numa_node1,4
csma,30,1,9308,2077,7231,7231,9136599,14877769,18219220,412.40,8,5,1,0,512,4096,2077,type3_numa_node1,4
aimd,30,1,9540,1424,8116,8116,13509338,20013058,22902671,282.39,8,5,1,0,512,4096,1424,type3_numa_node1,4
random,50,1,2063,2063,0,0,16994610,28936604,36999392,408.72,8,5,1,0,512,4096,2063,type3_numa_node1,4
csma,50,1,10237,1433,8804,8804,13494347,19470468,22911889,284.03,8,5,1,0,512,4096,1433,type3_numa_node1,4
aimd,50,1,10755,1594,9161,9161,12042553,19480905,23142500,316.20,8,5,1,0,512,4096,1594,type3_numa_node1,4
random,70,1,2789,2789,0,0,11391246,22897605,28751408,553.59,8,5,1,0,512,4096,2789,type3_numa_node1,4
csma,70,1,11451,1633,9818,9818,11475962,19041714,22764324,323.84,8,5,1,0,512,4096,1633,type3_numa_node1,4
aimd,70,1,11577,1524,10053,10053,12707010,19147585,22890396,302.35,8,5,1,0,512,4096,1524,type3_numa_node1,4
random,90,1,2301,2301,0,0,14974826,24992913,31381961,456.90,8,5,1,0,512,4096,2301,type3_numa_node1,4
csma,90,1,11887,2251,9636,9636,7977204,18241434,21691996,446.01,8,5,1,0,512,4096,2251,type3_numa_node1,4
aimd,90,1,12652,2211,10441,10441,8049383,19442785,22905250,438.76,8,5,1,0,512,4096,2211,type3_numa_node1,4
random,10,2,3184,3184,0,0,8471796,22200993,28944895,631.42,8,5,1,0,512,4096,3184,type3_numa_node1,4
csma,10,2,7024,1878,5146,5146,9006847,22456760,44151454,372.04,8,5,1,0,512,4096,1878,type3_numa_node1,4
aimd,10,2,9294,3144,6150,6150,5588391,12711556,16477169,623.25,8,5,1,0,512,4096,3144,type3_numa_node1,4
random,30,2,1686,1686,0,0,21132564,33811652,40379286,334.20,8,5,1,0,512,4096,1686,type3_numa_node1,4
csma,30,2,9553,1896,7657,7657,9743739,17723062,22810842,375.95,8,5,1,0,512,4096,1896,type3_numa_node1,4
aimd,30,2,9811,1737,8074,8074,10895749,17905307,21593398,344.20,8,5,1,0,512,4096,1737,type3_numa_node1,4
random,50,2,2133,2133,0,0,15992714,28516577,35519922,422.04,8,5,1,0,512,4096,2133,type3_numa_node1,4
csma,50,2,10455,1605,8850,8850,11664850,18961530,22671035,318.56,8,5,1,0,512,4096,1605,type3_numa_node1,4
aimd,50,2,10667,2184,8483,8483,8614951,15450517,19474493,432.62,8,5,1,0,512,4096,2184,type3_numa_node1,4
random,70,2,2637,2637,0,0,12474649,21041917,26171291,522.38,8,5,1,0,512,4096,2637,type3_numa_node1,4
csma,70,2,9889,2848,7041,7041,4732008,16952962,22180275,565.27,8,5,1,0,512,4096,2848,type3_numa_node1,4
aimd,70,2,11755,2652,9103,9103,6437415,16752614,20378972,524.44,8,5,1,0,512,4096,2652,type3_numa_node1,4
random,90,2,2632,2632,0,0,12602103,21208517,26042549,522.29,8,5,1,0,512,4096,2632,type3_numa_node1,4
csma,90,2,11947,1991,9956,9956,9200973,16115371,20759477,395.56,8,5,1,0,512,4096,1991,type3_numa_node1,4
aimd,90,2,12416,2136,10280,10280,8911223,15244455,18825273,424.44,8,5,1,0,512,4096,2136,type3_numa_node1,4
random,10,3,2631,2631,0,0,12211543,19044867,23017952,522.20,8,5,1,0,512,4096,2631,type3_numa_node1,4
csma,10,3,8348,2302,6046,6046,7926385,13323851,16141171,457.32,8,5,1,0,512,4096,2302,type3_numa_node1,4
aimd,10,3,8853,1830,7023,7023,9996638,18508411,23253955,362.46,8,5,1,0,512,4096,1830,type3_numa_node1,4
random,30,3,2365,2365,0,0,13846877,23982404,29719705,468.44,8,5,1,0,512,4096,2365,type3_numa_node1,4
csma,30,3,9622,2315,7307,7307,8034874,13323732,15977938,459.10,8,5,1,0,512,4096,2315,type3_numa_node1,4
aimd,30,3,10084,2152,7932,7932,8786924,14147329,16960945,427.68,8,5,1,0,512,4096,2152,type3_numa_node1,4
random,50,3,2554,2554,0,0,12969291,22065134,28031639,507.05,8,5,1,0,512,4096,2554,type3_numa_node1,4
csma,50,3,10272,2063,8209,8209,9100179,14859462,17629409,409.46,8,5,1,0,512,4096,2063,type3_numa_node1,4
aimd,50,3,10572,2194,8378,8378,8582613,14697502,17804105,435.64,8,5,1,0,512,4096,2194,type3_numa_node1,4
random,70,3,2226,2226,0,0,15819957,28928583,35042401,440.30,8,5,1,0,512,4096,2226,type3_numa_node1,4
csma,70,3,11868,1659,10209,10209,11265994,18863072,22594237,329.41,8,5,1,0,512,4096,1659,type3_numa_node1,4
aimd,70,3,12374,1877,10497,10497,9993246,16988352,22020637,372.30,8,5,1,0,512,4096,1877,type3_numa_node1,4
random,90,3,1970,1970,0,0,17898267,29869661,36844713,389.55,8,5,1,0,512,4096,1970,type3_numa_node1,4
csma,90,3,12467,1366,11101,11101,14053565,20561800,25505070,270.17,8,5,1,0,512,4096,1366,type3_numa_node1,4
aimd,90,3,12323,1312,11011,11011,14795991,22173400,26208348,260.08,8,5,1,0,512,4096,1312,type3_numa_node1,4
random,10,1,2123,2123,0,0,15081065,21516997,26388132,420.21,8,5,1,0,512,4096,2123,type3_numa_node1,8
csma,10,1,2668,2668,0,0,11166348,18832060,23028347,528.60,8,5,1,0,512,4096,2668,type3_numa_node1,8
aimd,10,1,2053,2053,0,0,17240744,25120507,30806173,405.91,8,5,1,0,512,4096,2053,type3_numa_node1,8
random,30,1,2066,2066,0,0,15629283,21053339,26251763,409.04,8,5,1,0,512,4096,2066,type3_numa_node1,8
csma,30,1,2060,2060,0,0,15640654,23954188,27222299,407.47,8,5,1,0,512,4096,2060,type3_numa_node1,8
aimd,30,1,2232,2232,0,0,16523413,24448675,28415540,442.73,8,5,1,0,512,4096,2232,type3_numa_node1,8
random,50,1,2056,2056,0,0,15911656,19636532,22158233,407.01,8,5,1,0,512,4096,2056,type3_numa_node1,8
csma,50,1,1867,1867,0,0,16720864,24632340,28385564,369.98,8,5,1,0,512,4096,1867,type3_numa_node1,8
aimd,50,1,2193,2193,0,0,16537202,23611493,27344503,434.73,8,5,1,0,512,4096,2193,type3_numa_node1,8
random,70,1,1974,1974,0,0,16359138,20433011,24723790,390.51,8,5,1,0,512,4096,1974,type3_numa_node1,8
csma,70,1,2010,2010,0,0,16443543,25627726,29420776,398.02,8,5,1,0,512,4096,2010,type3_numa_node1,8
aimd,70,1,4009,4009,0,0,8025408,17370511,23336900,793.34,8,5,1,0,512,4096,4009,type3_numa_node1,8
random,90,1,1852,1852,0,0,17490727,26866236,33495772,366.03,8,5,1,0,512,4096,1852,type3_numa_node1,8
csma,90,1,2065,2065,0,0,16017110,23519326,25723360,408.17,8,5,1,0,512,4096,2065,type3_numa_node1,8
aimd,90,1,2542,2542,0,0,15877693,24071695,27632155,503.04,8,5,1,0,512,4096,2542,type3_numa_node1,8
random,10,2,1993,1993,0,0,15803624,23604619,26921813,394.06,8,5,1,0,512,4096,1993,type3_numa_node1,8
csma,10,2,2263,2263,0,0,14171502,24518314,30976272,448.86,8,5,1,0,512,4096,2263,type3_numa_node1,8
aimd,10,2,2422,2422,0,0,15990666,23194449,25596648,478.02,8,5,1,0,512,4096,2422,type3_numa_node1,8
random,30,2,2070,2070,0,0,15650099,21266325,24231545,409.63,8,5,1,0,512,4096,2070,type3_numa_node1,8
csma,30,2,2391,2391,0,0,11566283,22613488,26994838,473.65,8,5,1,0,512,4096,2391,type3_numa_node1,8
aimd,30,2,2557,2557,0,0,15275508,24752945,31090163,506.49,8,5,1,0,512,4096,2557,type3_numa_node1,8
random,50,2,2108,2108,0,0,15601453,20440478,23956307,417.85,8,5,1,0,512,4096,2108,type3_numa_node1,8
csma,50,2,2223,2223,0,0,15511571,25165017,28742061,441.17,8,5,1,0,512,4096,2223,type3_numa_node1,8
aimd,50,2,2133,2133,0,0,16769782,23963170,27161461,422.64,8,5,1,0,512,4096,2133,type3_numa_node1,8
random,70,2,2082,2082,0,0,15775919,19454974,23575701,411.85,8,5,1,0,512,4096,2082,type3_numa_node1,8
csma,70,2,1924,1924,0,0,16899249,24045568,26524464,380.99,8,5,1,0,512,4096,1924,type3_numa_node1,8
aimd,70,2,2571,2571,0,0,15704661,23234601,25162215,509.57,8,5,1,0,512,4096,2571,type3_numa_node1,8
random,90,2,2070,2070,0,0,16001208,21790939,25668276,410.16,8,5,1,0,512,4096,2070,type3_numa_node1,8
csma,90,2,2191,2191,0,0,15596840,23047669,25745389,433.96,8,5,1,0,512,4096,2191,type3_numa_node1,8
aimd,90,2,1946,1946,0,0,20274644,26315835,32009755,385.75,8,5,1,0,512,4096,1946,type3_numa_node1,8
random,10,3,2025,2025,0,0,15761418,20232516,23062595,400.87,8,5,1,0,512,4096,2025,type3_numa_node1,8
csma,10,3,2079,2079,0,0,15463432,20213851,22715765,411.65,8,5,1,0,512,4096,2079,type3_numa_node1,8
aimd,10,3,2385,2385,0,0,16062913,24474838,30261649,471.03,8,5,1,0,512,4096,2385,type3_numa_node1,8
random,30,3,2477,2477,0,0,12032714,23070293,26747966,491.65,8,5,1,0,512,4096,2477,type3_numa_node1,8
csma,30,3,2675,2675,0,0,9663268,22384514,25465055,529.77,8,5,1,0,512,4096,2675,type3_numa_node1,8
aimd,30,3,2739,2739,0,0,15554986,24047256,29077954,542.30,8,5,1,0,512,4096,2739,type3_numa_node1,8
random,50,3,1961,1961,0,0,16122227,24574253,28282792,389.34,8,5,1,0,512,4096,1961,type3_numa_node1,8
csma,50,3,2159,2159,0,0,15172735,21184150,25766541,427.10,8,5,1,0,512,4096,2159,type3_numa_node1,8
aimd,50,3,2203,2203,0,0,16417157,27935737,34368444,436.49,8,5,1,0,512,4096,2203,type3_numa_node1,8
random,70,3,2224,2224,0,0,15007057,24619118,28586296,439.66,8,5,1,0,512,4096,2224,type3_numa_node1,8
csma,70,3,2371,2371,0,0,14985974,20089575,25278491,469.44,8,5,1,0,512,4096,2371,type3_numa_node1,8
aimd,70,3,2332,2332,0,0,16515653,24350538,28884679,462.32,8,5,1,0,512,4096,2332,type3_numa_node1,8
random,90,3,2541,2541,0,0,10683836,23741593,28068801,501.87,8,5,1,0,512,4096,2541,type3_numa_node1,8
csma,90,3,1951,1951,0,0,16536004,25702168,31011876,385.61,8,5,1,0,512,4096,1951,type3_numa_node1,8
aimd,90,3,2147,2147,0,0,16707217,25790753,32847285,425.87,8,5,1,0,512,4096,2147,type3_numa_node1,8
random,10,1,2798,2798,0,0,24914417,52806563,73589455,545.05,16,5,1,0,512,4096,2798,type3_numa_node1,4
csma,10,1,21834,1276,20558,20558,15351356,26497409,32930293,248.22,16,5,1,0,512,4096,1276,type3_numa_node1,4
aimd,10,1,23000,1126,21874,21874,17613893,26643042,30986352,220.58,16,5,1,0,512,4096,1126,type3_numa_node1,4
random,30,1,2105,2105,0,0,35054678,64991907,86821512,412.60,16,5,1,0,512,4096,2105,type3_numa_node1,4
csma,30,1,23048,949,22099,22099,21177711,30801684,35139201,185.63,16,5,1,0,512,4096,949,type3_numa_node1,4
aimd,30,1,23449,1019,22430,22430,19466003,28543169,33192810,199.87,16,5,1,0,512,4096,1019,type3_numa_node1,4
random,50,1,3417,3417,0,0,20707617,44256503,56072216,671.66,16,5,1,0,512,4096,3417,type3_numa_node1,4
csma,50,1,25367,1171,24196,24196,16762165,25101668,29029404,228.90,16,5,1,0,512,4096,1171,type3_numa_node1,4
aimd,50,1,24021,862,23159,23159,23186462,32706025,36305982,168.50,16,5,1,0,512,4096,862,type3_numa_node1,4
random,70,1,2860,2860,0,0,24798881,53021874,67610285,560.02,16,5,1,0,512,4096,2860,type3_numa_node1,4
csma,70,1,26233,852,25381,25381,23646958,33366999,38497584,166.83,16,5,1,0,512,4096,852,type3_numa_node1,4
aimd,70,1,26233,849,25384,25384,23805604,35224788,39886025,166.54,16,5,1,0,512,4096,849,type3_numa_node1,4
random,90,1,1963,1963,0,0,38344110,73311286,91176224,384.51,16,5,1,0,512,4096,1963,type3_numa_node1,4
csma,90,1,29078,857,28221,28221,23229872,33638455,38095428,167.71,16,5,1,0,512,4096,857,type3_numa_node1,4
aimd,90,1,27865,796,27069,27069,24400328,38853620,45967928,155.48,16,5,1,0,512,4096,796,type3_numa_node1,4
random,10,2,1843,1843,0,0,40439134,73251594,91731135,361.07,16,5,1,0,512,4096,1843,type3_numa_node1,4
csma,10,2,21793,1047,20746,20746,18756198,29738781,33868867,206.07,16,5,1,0,512,4096,1047,type3_numa_node1,4
aimd,10,2,21606,1211,20395,20395,15975723,24889794,29177846,238.61,16,5,1,0,512,4096,1211,type3_numa_node1,4
random,30,2,3192,3192,0,0,20528947,49856139,68005093,624.91,16,5,1,0,512,4096,3192,type3_numa_node1,4
csma,30,2,23715,977,22738,22738,19647724,32584920,38803917,191.07,16,5,1,0,512,4096,977,type3_numa_node1,4
aimd,30,2,22833,1075,21758,21758,18461799,29910169,36104318,210.73,16,5,1,0,512,4096,1075,type3_numa_node1,4
random,50,2,2027,2027,0,0,37018139,65033834,86281660,397.39,16,5,1,0,512,4096,2027,type3_numa_node1,4
csma,50,2,24184,859,23325,23325,23120646,35178091,43401462,166.88,16,5,1,0,512,4096,859,type3_numa_node1,4
aimd,50,2,23881,864,23017,23017,22842349,34553367,40543225,168.33,16,5,1,0,512,4096,864,type3_numa_node1,4
random,70,2,2008,2008,0,0,37606477,71532445,88421127,393.04,16,5,1,0,512,4096,2008,type3_numa_node1,4
csma,70,2,25263,817,24446,24446,24354941,37451587,45177418,159.37,16,5,1,0,512,4096,817,type3_numa_node1,4
aimd,70,2,26161,1187,24974,24974,16632191,29455632,36792477,230.46,16,5,1,0,512,4096,1187,type3_numa_node1,4
random,90,2,2050,2050,0,0,35707933,67716194,89996097,400.98,16,5,1,0,512,4096,2050,type3_numa_node1,4
csma,90,2,28317,997,27320,27320,20680986,34782596,40470493,194.10,16,5,1,0,512,4096,997,type3_numa_node1,4
aimd,90,2,27453,892,26561,26561,21868571,34587955,42223953,173.30,16,5,1,0,512,4096,892,type3_numa_node1,4
random,10,3,1741,1741,0,0,43382585,80131485,98320794,340.97,16,5,1,0,512,4096,1741,type3_numa_node1,4
csma,10,3,22957,1106,21851,21851,17916173,27728073,32564596,216.44,16,5,1,0,512,4096,1106,type3_numa_node1,4
aimd,10,3,22306,1004,21302,21302,19813798,30830688,35060993,196.45,16,5,1,0,512,4096,1004,type3_numa_node1,4
random,30,3,3202,3202,0,0,20761408,48945727,63994580,625.57,16,5,1,0,512,4096,3202,type3_numa_node1,4
csma,30,3,23765,1109,22656,22656,17961519,29411236,33460850,216.63,16,5,1,0,512,4096,1109,type3_numa_node1,4
aimd,30,3,23709,1070,22639,22639,18261822,29112272,34276369,208.57,16,5,1,0,512,4096,1070,type3_numa_node1,4
random,50,3,2093,2093,0,0,36515757,67691052,79958032,409.56,16,5,1,0,512,4096,2093,type3_numa_node1,4
csma,50,3,24831,873,23958,23958,22455159,34800765,41867970,171.15,16,5,1,0,512,4096,873,type3_numa_node1,4
aimd,50,3,25018,980,24038,24038,20148761,30730448,35015118,190.74,16,5,1,0,512,4096,980,type3_numa_node1,4
random,70,3,2130,2130,0,0,35695950,66942949,86404067,415.02,16,5,1,0,512,4096,2130,type3_numa_node1,4
csma,70,3,27587,915,26672,26672,21587565,33008036,36638654,178.94,16,5,1,0,512,4096,915,type3_numa_node1,4
aimd,70,3,26014,941,25073,25073,21310192,34135504,39638186,183.19,16,5,1,0,512,4096,941,type3_numa_node1,4
random,90,3,2009,2009,0,0,38032064,70303708,88357966,392.22,16,5,1,0,512,4096,2009,type3_numa_node1,4
csma,90,3,29306,869,28437,28437,22857858,34589562,40173491,170.52,16,5,1,0,512,4096,869,type3_numa_node1,4
aimd,90,3,27549,788,26761,26761,25324955,37353838,43395785,154.10,16,5,1,0,512,4096,788,type3_numa_node1,4
random,10,1,2009,2009,0,0,34728136,56031801,70611924,391.24,16,5,1,0,512,4096,2009,type3_numa_node1,8
csma,10,1,13198,1546,11652,11652,25182972,37354219,44245189,301.62,16,5,1,0,512,4096,1546,type3_numa_node1,8
aimd,10,1,13183,1387,11796,11796,28721382,39973015,45628076,270.72,16,5,1,0,512,4096,1387,type3_numa_node1,8
random,30,1,2088,2088,0,0,33565092,52920771,67557528,406.89,16,5,1,0,512,4096,2088,type3_numa_node1,8
csma,30,1,13586,1636,11950,11950,24001346,36657837,42971729,318.69,16,5,1,0,512,4096,1636,type3_numa_node1,8
aimd,30,1,13790,1337,12453,12453,29682720,40923397,45997947,261.96,16,5,1,0,512,4096,1337,type3_numa_node1,8
random,50,1,1933,1933,0,0,36886575,55573147,69139275,376.38,16,5,1,0,512,4096,1933,type3_numa_node1,8
csma,50,1,14197,1656,12541,12541,26444951,39521847,45569429,323.40,16,5,1,0,512,4096,1656,type3_numa_node1,8
aimd,50,1,14356,1414,12942,12942,27912080,40387950,46329148,276.06,16,5,1,0,512,4096,1414,type3_numa_node1,8
