track,load,seed,attempts,success,retry,backoff,delay_p50,delay_p95,delay_p99,goodput,threads,seconds,mem_node,cpu_node,mem_mb,touches_per_req,latency_samples,backend,queue_depth
random,10,1,1132,1132,0,0,14442295,32118727,47808127,225.03,4,5,1,0,512,4096,1132,type3_numa_node1,1
track,load,seed,attempts,success,retry,backoff,delay_p50,delay_p95,delay_p99,goodput,threads,seconds,mem_node,cpu_node,mem_mb,touches_per_req,latency_samples,backend,queue_depth
csma,10,1,6667,763,5904,5904,4787810,14631117,22898307,152.06,4,5,1,0,512,4096,763,type3_numa_node1,1
track,load,seed,attempts,success,retry,backoff,delay_p50,delay_p95,delay_p99,goodput,threads,seconds,mem_node,cpu_node,mem_mb,touches_per_req,latency_samples,backend,queue_depth
aimd,10,1,6586,728,5858,5858,5360379,13578611,21814866,144.49,4,5,1,0,512,4096,728,type3_numa_node1,1
track,load,seed,attempts,success,retry,backoff,delay_p50,delay_p95,delay_p99,goodput,threads,seconds,mem_node,cpu_node,mem_mb,touches_per_req,latency_samples,backend,queue_depth
random,30,1,1097,1097,0,0,15425845,33870803,46618074,218.09,4,5,1,0,512,4096,1097,type3_numa_node1,1
track,load,seed,attempts,success,retry,backoff,delay_p50,delay_p95,delay_p99,goodput,threads,seconds,mem_node,cpu_node,mem_mb,touches_per_req,latency_samples,backend,queue_depth
csma,30,1,7684,843,6841,6841,4646527,10572593,19589789,168.19,4,5,1,0,512,4096,843,type3_numa_node1,1
track,load,seed,attempts,success,retry,backoff,delay_p50,delay_p95,delay_p99,goodput,threads,seconds,mem_node,cpu_node,mem_mb,touches_per_req,latency_samples,backend,queue_depth
aimd,30,1,7324,784,6540,6540,4741182,14394785,23411876,156.23,4,5,1,0,512,4096,784,type3_numa_node1,1
track,load,seed,attempts,success,retry,backoff,delay_p50,delay_p95,delay_p99,goodput,threads,seconds,mem_node,cpu_node,mem_mb,touches_per_req,latency_samples,backend,queue_depth
