track,load,seed,attempts,success,retry,backoff,delay_p50,delay_p95,delay_p99,goodput,threads,seconds,mem_node,cpu_node,mem_mb,touches_per_req,latency_samples,backend,queue_depth,device_workers,avg_cwnd,avg_inflight,max_inflight,elapsed_s,global_avg_cwnd,global_avg_inflight,global_max_inflight
random,100,1,10530,10530,0,0,1160307,1601773,1856346,701.52,1,15,1,0,512,4096,10530,type3_numa_node1,4,1,1.00,1.00,1,15.010173,0.0000,0.0000,0
csma,100,1,10086,10086,0,0,1255406,1662463,2000574,672.22,1,15,1,0,512,4096,10086,type3_numa_node1,4,1,1.00,1.00,1,15.003987,0.0000,0.0000,0
aimd,100,1,23764,21389,2375,2375,2570123,4960538,5917578,1425.13,1,15,1,0,512,4096,21389,type3_numa_node1,4,1,3.24,3.50,5,15.008464,3.2422,3.5008,5
random,100,2,12357,12357,0,0,921397,1478863,1669977,823.60,1,15,1,0,512,4096,12357,type3_numa_node1,4,1,1.00,1.00,1,15.003619,0.0000,0.0000,0
csma,100,2,12481,12481,0,0,877380,1591772,1790327,831.88,1,15,1,0,512,4096,12481,type3_numa_node1,4,1,1.00,1.00,1,15.003390,0.0000,0.0000,0
aimd,100,2,25989,23391,2598,2598,2444534,4632705,5782480,1558.87,1,15,1,0,512,4096,23391,type3_numa_node1,4,1,3.24,3.50,4,15.005130,3.2399,3.5007,4
random,100,3,9463,9463,0,0,1352531,1644235,1837041,630.66,1,15,1,0,512,4096,9463,type3_numa_node1,4,1,1.00,1.00,1,15.004802,0.0000,0.0000,0
csma,100,3,10590,10590,0,0,1222845,1628167,1852053,705.60,1,15,1,0,512,4096,10590,type3_numa_node1,4,1,1.00,1.00,1,15.008409,0.0000,0.0000,0
aimd,100,3,21750,19576,2174,2174,2991943,5268239,6056344,1304.56,1,15,1,0,512,4096,19576,type3_numa_node1,4,1,3.24,3.49,4,15.005815,3.2419,3.4898,4
random,100,4,12148,12148,0,0,1052661,1404494,1608890,809.69,1,15,1,0,512,4096,12148,type3_numa_node1,4,1,1.00,1.00,1,15.003345,0.0000,0.0000,0
csma,100,4,15192,15192,0,0,776606,1072062,1222179,1012.55,1,15,1,0,512,4096,15192,type3_numa_node1,4,1,1.00,1.00,1,15.003680,0.0000,0.0000,0
aimd,100,4,41779,37605,4174,4174,1659753,2225284,2533750,2506.13,1,15,1,0,512,4096,37605,type3_numa_node1,4,1,3.30,3.43,5,15.005206,3.2951,3.4311,5
random,100,5,10816,10816,0,0,1078684,1579905,1834283,720.40,1,15,1,0,512,4096,10816,type3_numa_node1,4,1,1.00,1.00,1,15.013939,0.0000,0.0000,0
csma,100,5,10238,10238,0,0,1211443,1602727,2181668,682.34,1,15,1,0,512,4096,10238,type3_numa_node1,4,1,1.00,1.00,1,15.004341,0.0000,0.0000,0
aimd,100,5,16941,15248,1693,1693,4093115,6108885,6949524,1016.19,1,15,1,0,512,4096,15248,type3_numa_node1,4,1,3.24,3.51,4,15.005019,3.2380,3.5133,4
random,100,1,14354,14354,0,0,1813227,2251361,2636196,956.47,2,15,1,0,512,4096,14354,type3_numa_node1,4,1,1.00,1.00,1,15.007319,0.0000,0.0000,0
csma,100,1,15190,15190,0,0,1653301,2433621,2756928,1012.33,2,15,1,0,512,4096,15190,type3_numa_node1,4,1,1.00,1.00,1,15.004960,0.0000,0.0000,0
aimd,100,1,15325,13793,1532,1532,5603549,8702340,9410936,919.12,2,15,1,0,512,4096,13793,type3_numa_node1,4,1,3.22,3.53,4,15.006819,3.2193,3.5312,4
random,100,2,13508,13508,0,0,2053938,2472304,2866340,900.22,2,15,1,0,512,4096,13508,type3_numa_node1,4,1,1.00,1.00,1,15.005264,0.0000,0.0000,0
csma,100,2,15509,15509,0,0,1693493,2214768,2543255,1033.52,2,15,1,0,512,4096,15509,type3_numa_node1,4,1,1.00,1.00,1,15.006026,0.0000,0.0000,0
aimd,100,2,19055,17150,1905,1905,4670647,6907525,8388901,1142.86,2,15,1,0,512,4096,17150,type3_numa_node1,4,1,3.23,3.52,4,15.006237,3.2278,3.5168,4
random,100,3,14308,14308,0,0,1877833,2342619,2618728,953.55,2,15,1,0,512,4096,14308,type3_numa_node1,4,1,1.00,1.00,1,15.004943,0.0000,0.0000,0
csma,100,3,14599,14599,0,0,1902935,2492440,2789347,972.94,2,15,1,0,512,4096,14599,type3_numa_node1,4,1,1.00,1.00,1,15.005091,0.0000,0.0000,0
aimd,100,3,19205,17286,1919,1919,4656726,6796309,7624352,1151.97,2,15,1,0,512,4096,17286,type3_numa_node1,4,1,3.23,3.53,5,15.005570,3.2292,3.5293,5
random,100,4,14942,14942,0,0,1805388,2404793,2727132,995.74,2,15,1,0,512,4096,14942,type3_numa_node1,4,1,1.00,1.00,1,15.005982,0.0000,0.0000,0
csma,100,4,13251,13251,0,0,2028868,2527954,3186001,882.67,2,15,1,0,512,4096,13251,type3_numa_node1,4,1,1.00,1.00,1,15.012480,0.0000,0.0000,0
aimd,100,4,17847,16063,1784,1784,5005533,7407647,8370953,1070.43,2,15,1,0,512,4096,16063,type3_numa_node1,4,1,3.23,3.50,5,15.006124,3.2305,3.5050,5
random,100,5,14785,14785,0,0,1801481,2420048,2724256,985.17,2,15,1,0,512,4096,14785,type3_numa_node1,4,1,1.00,1.00,1,15.007525,0.0000,0.0000,0
csma,100,5,15628,15628,0,0,1662573,2297969,2589258,1041.48,2,15,1,0,512,4096,15628,type3_numa_node1,4,1,1.00,1.00,1,15.005516,0.0000,0.0000,0
aimd,100,5,18712,16842,1870,1870,4795111,7030250,7764497,1122.31,2,15,1,0,512,4096,16842,type3_numa_node1,4,1,3.23,3.52,4,15.006504,3.2274,3.5235,4
random,100,1,13077,13077,0,0,4079355,5813108,6540154,870.75,4,15,1,0,512,4096,13077,type3_numa_node1,4,1,1.00,1.00,1,15.018014,0.0000,0.0000,0
csma,100,1,11881,11881,0,0,4654985,5849081,6669398,790.75,4,15,1,0,512,4096,11881,type3_numa_node1,4,1,1.00,1.00,1,15.024901,0.0000,0.0000,0
aimd,100,1,15331,13803,1528,1528,5000046,12538746,60738005,919.34,4,15,1,0,512,4096,13803,type3_numa_node1,4,1,3.23,3.50,5,15.014024,3.2290,3.4954,5
random,100,2,11382,11382,0,0,5088407,5959594,6434214,758.16,4,15,1,0,512,4096,11382,type3_numa_node1,4,1,1.00,1.00,1,15.012601,0.0000,0.0000,0
csma,100,2,13985,13985,0,0,3836352,5355568,5801217,931.65,4,15,1,0,512,4096,13985,type3_numa_node1,4,1,1.00,1.00,1,15.010987,0.0000,0.0000,0
aimd,100,2,14897,13409,1488,1488,5150832,12491188,82487062,893.25,4,15,1,0,512,4096,13409,type3_numa_node1,4,1,3.23,3.50,5,15.011414,3.2287,3.5024,5
random,100,3,10974,10974,0,0,5191613,5955521,6596270,731.03,4,15,1,0,512,4096,10974,type3_numa_node1,4,1,1.00,1.00,1,15.011610,0.0000,0.0000,0
csma,100,3,11167,11167,0,0,5208295,6040815,6963644,743.60,4,15,1,0,512,4096,11167,type3_numa_node1,4,1,1.00,1.00,1,15.017531,0.0000,0.0000,0
aimd,100,3,11384,10248,1136,1136,7489255,12899062,93028948,682.02,4,15,1,0,512,4096,10248,type3_numa_node1,4,1,3.25,3.52,5,15.025966,3.2454,3.5198,5
random,100,4,12858,12858,0,0,4042429,5848209,6930857,856.31,4,15,1,0,512,4096,12858,type3_numa_node1,4,1,1.00,1.00,1,15.015597,0.0000,0.0000,0
csma,100,4,13425,13425,0,0,3917360,5462080,5947400,894.17,4,15,1,0,512,4096,13425,type3_numa_node1,4,1,1.00,1.00,1,15.013901,0.0000,0.0000,0
aimd,100,4,12725,11454,1271,1271,6974442,11446444,79777883,762.74,4,15,1,0,512,4096,11454,type3_numa_node1,4,1,3.23,3.51,5,15.016887,3.2318,3.5115,5
random,100,5,12819,12819,0,0,4277223,5576123,6078454,853.56,4,15,1,0,512,4096,12819,type3_numa_node1,4,1,1.00,1.00,1,15.018356,0.0000,0.0000,0
csma,100,5,12730,12730,0,0,4416994,5707245,6585116,847.84,4,15,1,0,512,4096,12730,type3_numa_node1,4,1,1.00,1.00,1,15.014651,0.0000,0.0000,0
aimd,100,5,12722,11452,1270,1270,7168819,12839335,90783410,762.64,4,15,1,0,512,4096,11452,type3_numa_node1,4,1,3.23,3.50,5,15.016292,3.2317,3.5013,5
random,100,1,13466,13466,0,0,7808793,15757093,20806740,895.59,8,15,1,0,512,4096,13466,type3_numa_node1,4,1,1.00,1.00,1,15.035870,0.0000,0.0000,0
csma,100,1,35948,16346,19602,19602,3267796,26606715,94135044,1087.50,8,15,1,0,512,4096,16346,type3_numa_node1,4,1,1.00,0.45,1,15.030740,0.0000,0.0000,0
aimd,100,1,4248,3826,422,422,23673759,184854057,432785805,254.46,8,15,1,0,512,4096,3826,type3_numa_node1,4,1,3.21,3.50,5,15.035599,3.2057,3.5045,5
random,100,2,14329,14329,0,0,7243066,15459743,19737276,953.35,8,15,1,0,512,4096,14329,type3_numa_node1,4,1,1.00,1.00,1,15.030093,0.0000,0.0000,0
csma,100,2,30102,11931,18171,18171,5036812,38992388,122532716,793.92,8,15,1,0,512,4096,11931,type3_numa_node1,4,1,1.00,0.40,1,15.028020,0.0000,0.0000,0
aimd,100,2,3350,3016,334,334,30594993,216815950,524950316,200.50,8,15,1,0,512,4096,3016,type3_numa_node1,4,1,3.21,3.50,5,15.042399,3.2068,3.5038,5
random,100,3,13166,13166,0,0,7603051,16819110,23068069,875.04,8,15,1,0,512,4096,13166,type3_numa_node1,4,1,1.00,1.00,1,15.046202,0.0000,0.0000,0
csma,100,3,28735,10877,17858,17858,5142846,43196561,124390716,723.32,8,15,1,0,512,4096,10877,type3_numa_node1,4,1,1.00,0.38,1,15.037677,0.0000,0.0000,0
aimd,100,3,4363,3930,433,433,22612496,156918604,441449971,261.38,8,15,1,0,512,4096,3930,type3_numa_node1,4,1,3.20,3.50,5,15.035731,3.2016,3.4982,5
random,100,4,10660,10660,0,0,10294156,20940793,27673115,708.53,8,15,1,0,512,4096,10660,type3_numa_node1,4,1,1.00,1.00,1,15.045290,0.0000,0.0000,0
csma,100,4,35669,15874,19795,19795,3403133,29231397,86627363,1056.39,8,15,1,0,512,4096,15874,type3_numa_node1,4,1,1.00,0.45,1,15.026596,0.0000,0.0000,0
aimd,100,4,6043,5449,594,594,14674366,119916828,328799318,362.40,8,15,1,0,512,4096,5449,type3_numa_node1,4,1,3.21,3.50,5,15.035830,3.2093,3.5030,5
random,100,5,14497,14497,0,0,6946548,16067893,20958863,964.26,8,15,1,0,512,4096,14497,type3_numa_node1,4,1,1.00,1.00,1,15.034257,0.0000,0.0000,0
csma,100,5,33476,14412,19064,19064,3799266,32128673,98594681,959.22,8,15,1,0,512,4096,14412,type3_numa_node1,4,1,1.00,0.43,1,15.024675,0.0000,0.0000,0
aimd,100,5,3769,3394,375,375,27930179,187120564,516028934,225.61,8,15,1,0,512,4096,3394,type3_numa_node1,4,1,3.20,3.50,5,15.043458,3.2024,3.4955,5
